TG	Coefficient
TDP2	0.00478558
ZNF480	0.000360411
ZNF140	0.00141459
TEF	0.00936131
RNF166	0.00361654
POLQ	0.000283054
MECOM	0.0168773
TGFB1	0.00262655
POLR2B	7.87649e-06
CTBP2	0.010487
ALX4	0.549687
HMGN1	0.0056335
ZNF593	0.0068716
CREB3L2	0.00144338
RING1	0.015746
ZKSCAN4	0.000218356
ARHGEF2	0.00178574
ZNF614	0.000270173
GATA2	0.00106458
CRTC2	0.00887303
DLX1	0.00749821
MAFK	0.000363396
ZNF217	0.00136567
ZNF84	0.00195812
ZNF704	0.00164928
YBX1	0.000144611
BRD9	0.00106509
ZNF274	0.00201749
DR1	0.0128948
ZUFSP	0.000234107
ATF3	8.20079e-05
HEY2	0.00126666
ZNF222	0.0047776
LTN1	0.000526084
MBNL1	0.000344096
SSB	0.00410166
ARRB2	0.00332233
BCOR	0.000693322
AHDC1	0.0278894
CHD2	0.000368858
HNRNPDL	0.00707614
FARSA	0.011205
KLF13	0.00115326
CBX2	0.016495
ZNF70	0.0019932
ZBTB10	0.000443162
DAXX	0.00343734
ZBTB1	0.00119068
RPS6KA4	0.0013243
RARA	0.0126747
SNRPC	0.000306594
MED13L	0.0144832
CDK9	0.00223902
SNW1	0.00316249
TEAD2	0.0421221
SETDB1	0.0125978
ZSCAN9	0.00625288
ZNF589	0.00292378
ZNF276	0.00355062
ZNF497	0.00213197
FLYWCH1	0.00227625
EGLN1	7.43973e-05
KLF15	0.0100475
STAT1	0.00146112
CTNNBIP1	0.000888728
KLF6	0.000872567
DBP	0.00331378
BIN1	0.00374911
RCOR3	0.000565802
CUL5	0.000159768
DNAJA3	0.000411291
E2F5	0.00557636
IRAK1	0.000457901
TCEA2	0.00294482
HELZ2	0.000553339
KDM3A	0.000337435
NUPL2	0.00143196
RFXANK	7.90703e-05
SCOC	0.00135323
PRR12	0.0329477
MYRF	0.000321149
ZNF628	0.00295067
ZMYM3	0.0107767
ARNT2	0.00341887
MKL2	0.00163167
ZNF852	0.000269294
DPF1	0.0409852
THRAP3	0.00169524
ELF2	0.000118087
MAZ	0.045583
LZTR1	2.25505e-05
CERS4	0.000433911
COPS2	0.00357471
JARID2	0.000912875
POU3F3	0.144352
MSRB2	0.00259352
REST	0.000705456
STK36	9.7692e-05
MATR3	0.00343199
MAPK14	9.77883e-05
ZNF775	0.00158189
ZNF385D	0.00304562
EED	0.00573472
SNAI1	0.033907
CITED4	3.63692e-06
SCML4	0.0244146
SOX9	0.00745479
CENPA	0.00105661
MED23	0.000895221
